TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0005760	[14-14]	[18-18]	[9-9]	[7-7]	[10-10]	[16-16]	[8-8]	[12-12]	[13-13]	[11-11]	[3-3]	[4-4]	[8-8]	[11-11]	[3-3]	[3-3]	[9-9]	[3-3]	[12-12]	[22-22]	[3.53239-23.5632]	[4.69023-26.9733]	[4.8782-22.7777]	[5.48019-14.0857]	[5.69426-13.6033]	[6.37983-16.7476]	[5.69426-18.5652]	[6.14384-26.0788]	[4.50827-22.0174]	[4.50827-12.6843]	[4.33213-13.6033]	[5.91539-23.5632]	[3.38746-14.5841]	[3.83678-22.0174]	[2.85261-19.2115]	[1.44428-12.6843]	[2.72941-12.6843]	[1.87557-9.2139]	[2.27478-11.4131]
OG0004206	[4-4]	[4-4]	[1-1]	[7-7]	[8-8]	[8-8]	[6-6]	[3-3]	[11-11]	[5-5]	[4-4]	[1-1]	[1-1]	[1-1]	[1-1]	[3-3]	[2-2]	[8-8]	[2-2]	[3-3]	[0.601995-8.57112]	[1.14631-9.55131]	[1.29045-8.57112]	[1.97056-5.91539]	[2.61015-6.87545]	[3.68212-9.89986]	[4.16162-14.0857]	[3.68212-16.7476]	[1.52502-9.55131]	[1.44428-5.27297]	[3.24716-11.0161]	[3.53239-15.0989]	[0.0499578-2.72941]	[0.0499578-3.24716]	[0.318177-6.87545]	[0.276025-6.62361]	[1.21721-7.1356]	[1.6946-8.57112]	[0.824398-5.69426]
OG0005610	[7-7]	[4-4]	[6-6]	[4-4]	[8-8]	[9-9]	[6-6]	[14-14]	[18-18]	[10-10]	[1-1]	[2-2]	[3-3]	[3-3]	[13-13]	[3-3]	[12-12]	[3-3]	[4-4]	[16-16]	[2.49471-17.9395]	[2.06869-14.0857]	[2.17006-11.8231]	[3.53239-9.55131]	[3.68212-9.2139]	[4.69023-12.6843]	[3.53239-12.2467]	[3.99656-17.3339]	[4.33213-21.2813]	[2.38296-7.40435]	[3.53239-11.8231]	[6.87545-26.0788]	[0.946923-5.91539]	[0.824398-7.68198]	[3.24716-22.0174]	[2.27478-17.3339]	[1.97056-9.55131]	[2.06869-9.89986]	[2.72941-13.1364]
OG0005773	[16-16]	[8-8]	[5-5]	[10-10]	[18-18]	[10-10]	[10-10]	[8-8]	[8-8]	[10-10]	[7-7]	[6-6]	[2-2]	[6-6]	[1-1]	[2-2]	[4-4]	[4-4]	[7-7]	[20-20]	[2.49471-17.9395]	[3.68212-22.0174]	[3.24716-16.7476]	[4.69023-12.2467]	[5.27297-12.6843]	[6.62361-17.3339]	[6.62361-22.0174]	[6.62361-26.9733]	[3.83678-19.2115]	[3.53239-10.2599]	[4.50827-14.5841]	[4.33213-17.9395]	[1.78361-9.2139]	[1.14631-9.2139]	[1.6946-13.6033]	[0.453174-7.68198]	[1.78361-8.88729]	[1.29045-7.1356]	[1.01124-6.62361]
OG0007081	[0-0]	[2-2]	[2-2]	[5-5]	[4-4]	[5-5]	[4-4]	[6-6]	[10-10]	[11-11]	[3-3]	[2-2]	[3-3]	[2-2]	[3-3]	[3-3]	[7-7]	[3-3]	[3-3]	[10-10]	[0.709584-8.57112]	[0.318177-5.48019]	[1.14631-7.96878]	[2.27478-6.62361]	[2.72941-7.40435]	[2.85261-7.96878]	[2.27478-8.88729]	[1.87557-9.55131]	[1.97056-11.4131]	[2.38296-7.40435]	[3.83678-12.6843]	[5.27297-20.5688]	[0.709584-5.27297]	[0.550768-6.62361]	[1.52502-12.6843]	[0.824398-9.55131]	[1.44428-7.96878]	[1.6946-8.57112]	[1.97056-9.89986]
OG0000146	[8-8]	[3-3]	[2-2]	[4-4]	[4-4]	[4-4]	[4-4]	[6-6]	[5-5]	[4-4]	[3-3]	[0-0]	[1-1]	[1-1]	[1-1]	[2-2]	[2-2]	[1-1]	[2-2]	[3-3]	[0.406705-7.68198]	[1.21721-9.89986]	[0.884665-6.87545]	[1.44428-4.8782]	[1.6946-4.8782]	[2.49471-7.40435]	[1.97056-7.68198]	[1.60843-8.88729]	[1.97056-11.4131]	[0.824398-3.53239]	[1.97056-7.40435]	[1.97056-9.2139]	[0.0163827-1.87557]	[0.0499578-3.24716]	[0.084642-5.27297]	[0.0499578-4.50827]	[0.361722-4.16162]	[0.318177-3.83678]	[0.550768-4.8782]
OG0002477	[5-5]	[6-6]	[2-2]	[2-2]	[2-2]	[2-2]	[4-4]	[4-4]	[2-2]	[2-2]	[2-2]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[2-2]	[1-1]	[0-0]	[0.084642-5.07238]	[0.884665-8.57112]	[0.824398-6.62361]	[0.946923-3.68212]	[1.01124-3.53239]	[1.36612-4.69023]	[0.766058-4.16162]	[0.550768-4.8782]	[1.52502-9.2139]	[0.501178-2.97987]	[0.824398-3.99656]	[0.601995-4.69023]	[0.0499578-2.72941]	[0.0499578-3.24716]	[0.0163827-2.61015]	[0.0499578-3.68212]	[0.084642-3.11134]	[0.120472-3.38746]	[0.0499578-2.85261]
OG0000059	[28-28]	[2-2]	[6-6]	[3-3]	[8-8]	[7-7]	[11-11]	[10-10]	[8-8]	[6-6]	[0-0]	[2-2]	[4-4]	[4-4]	[4-4]	[4-4]	[8-8]	[2-2]	[8-8]	[14-14]	[2.38296-17.3339]	[2.72941-17.3339]	[1.44428-9.2139]	[2.97987-8.26506]	[2.97987-7.68198]	[4.33213-11.4131]	[2.85261-10.6319]	[3.38746-15.6307]	[4.69023-22.7777]	[1.60843-5.48019]	[1.36612-5.69426]	[3.24716-14.0857]	[1.21721-7.1356]	[1.29045-9.89986]	[2.27478-16.7476]	[1.36612-12.2467]	[2.17006-10.6319]	[1.6946-8.57112]	[2.49471-12.2467]
OG0002731	[100-100]	[94-94]	[58-58]	[98-98]	[68-68]	[73-73]	[98-98]	[86-86]	[65-65]	[70-70]	[23-23]	[61-61]	[60-60]	[110-110]	[72-72]	[33-33]	[69-69]	[45-45]	[178-178]	[205-205]	[37.7159-208.82]	[35.2794-177.35]	[36.4778-150.601]	[44.5472-105.033]	[47.6061-105.033]	[54.3541-127.863]	[46.0518-136.517]	[36.4778-136.517]	[44.5472-189.328]	[36.4778-92.1071]	[27.8974-80.7569]	[35.2794-127.863]	[38.9948-141.06]	[36.4778-177.35]	[43.0907-230.308]	[29.8381-171.647]	[37.7159-136.517]	[24.3746-89.1297]	[24.3746-95.1827]
OG0002657	[46-46]	[6-6]	[17-17]	[23-23]	[25-25]	[26-26]	[21-21]	[23-23]	[20-20]	[24-24]	[6-6]	[8-8]	[5-5]	[9-9]	[3-3]	[3-3]	[5-5]	[4-4]	[7-7]	[18-18]	[4.16162-27.8974]	[7.68198-41.6808]	[5.69426-26.9733]	[10.2599-25.2129]	[10.6319-24.3746]	[15.0989-37.7159]	[14.0857-43.0907]	[12.6843-50.8705]	[10.6319-46.0518]	[6.37983-17.3339]	[8.26506-25.2129]	[11.4131-41.6808]	[3.38746-14.5841]	[2.61015-16.1801]	[2.27478-16.7476]	[1.14631-11.0161]	[2.06869-9.89986]	[1.6946-8.26506]	[1.52502-8.57112]
OG0004350	[11-11]	[1-1]	[3-3]	[5-5]	[8-8]	[8-8]	[8-8]	[3-3]	[3-3]	[2-2]	[0-0]	[1-1]	[1-1]	[1-1]	[1-1]	[2-2]	[1-1]	[2-2]	[3-3]	[3-3]	[0.453174-7.68198]	[1.07768-9.55131]	[0.550768-5.69426]	[1.60843-5.07238]	[1.60843-4.8782]	[3.53239-9.89986]	[3.68212-12.6843]	[3.68212-16.7476]	[1.78361-10.6319]	[0.235221-2.38296]	[0.361722-2.85261]	[0.884665-5.48019]	[0.0499578-2.72941]	[0.0499578-3.24716]	[0.120472-5.69426]	[0.084642-5.07238]	[0.550768-4.8782]	[0.318177-3.99656]	[0.195722-3.83678]
OG0005877	[8-8]	[4-4]	[2-2]	[4-4]	[9-9]	[5-5]	[4-4]	[13-13]	[11-11]	[5-5]	[1-1]	[1-1]	[2-2]	[4-4]	[4-4]	[5-5]	[5-5]	[7-7]	[22-22]	[13-13]	[2.17006-16.1801]	[1.6946-12.2467]	[1.52502-9.2139]	[2.27478-6.87545]	[2.72941-7.40435]	[3.83678-10.6319]	[2.97987-10.6319]	[3.11134-14.0857]	[3.53239-17.3339]	[1.60843-5.48019]	[2.17006-7.96878]	[3.53239-15.0989]	[0.550768-4.8782]	[0.766058-7.40435]	[3.11134-20.5688]	[2.27478-17.3339]	[4.33213-17.9395]	[2.61015-11.8231]	[2.17006-10.6319]
OG0004378	[17-17]	[4-4]	[6-6]	[11-11]	[7-7]	[6-6]	[8-8]	[12-12]	[11-11]	[8-8]	[1-1]	[2-2]	[2-2]	[6-6]	[1-1]	[2-2]	[7-7]	[3-3]	[6-6]	[12-12]	[1.97056-15.0989]	[2.85261-17.9395]	[2.17006-12.2467]	[3.53239-9.89986]	[3.68212-9.55131]	[5.27297-14.0857]	[4.16162-14.0857]	[2.97987-13.6033]	[4.50827-22.0174]	[2.17006-6.87545]	[2.61015-9.2139]	[4.69023-18.5652]	[1.07768-6.62361]	[1.14631-9.2139]	[1.29045-11.4131]	[0.453174-7.68198]	[1.78361-8.88729]	[1.44428-7.68198]	[1.52502-8.57112]
OG0006426	[20-20]	[4-4]	[4-4]	[15-15]	[12-12]	[7-7]	[17-17]	[15-15]	[10-10]	[8-8]	[5-5]	[3-3]	[3-3]	[7-7]	[1-1]	[2-2]	[3-3]	[21-21]	[4-4]	[3-3]	[1.78361-14.0857]	[3.53239-21.2813]	[2.72941-14.0857]	[4.50827-12.2467]	[5.48019-13.1364]	[7.96878-19.8791]	[5.91539-19.8791]	[4.33213-18.5652]	[7.40435-32.9962]	[3.24716-9.55131]	[4.16162-13.1364]	[4.33213-17.9395]	[1.6946-8.57112]	[1.60843-11.4131]	[0.654916-8.57112]	[0.654916-8.88729]	[2.27478-11.0161]	[2.72941-12.2467]	[0.824398-5.69426]
OG0004966	[8-8]	[7-7]	[4-4]	[3-3]	[4-4]	[4-4]	[2-2]	[2-2]	[4-4]	[3-3]	[1-1]	[2-2]	[4-4]	[3-3]	[1-1]	[2-2]	[3-3]	[18-18]	[3-3]	[4-4]	[1.07768-10.6319]	[1.60843-11.8231]	[1.36612-8.88729]	[1.60843-5.27297]	[1.60843-4.69023]	[1.60843-5.07238]	[1.6946-7.1356]	[1.60843-8.88729]	[0.453174-5.27297]	[1.36612-4.8782]	[1.07768-4.8782]	[1.44428-7.40435]	[1.07768-6.62361]	[1.07768-8.88729]	[0.709584-8.57112]	[0.550768-7.96878]	[1.97056-9.89986]	[2.49471-11.4131]	[0.824398-5.69426]
OG0003187	[7-7]	[3-3]	[3-3]	[3-3]	[4-4]	[4-4]	[6-6]	[6-6]	[6-6]	[7-7]	[14-14]	[3-3]	[1-1]	[2-2]	[1-1]	[3-3]	[1-1]	[1-1]	[2-2]	[3-3]	[0.550768-8.26506]	[1.52502-11.4131]	[1.36612-8.88729]	[2.38296-6.87545]	[2.61015-7.1356]	[2.49471-7.40435]	[1.6946-7.1356]	[1.60843-8.88729]	[2.49471-13.6033]	[2.49471-7.68198]	[4.69023-15.0989]	[2.97987-13.1364]	[0.406705-4.50827]	[0.084642-4.33213]	[0.084642-5.27297]	[0.0499578-4.50827]	[0.276025-3.99656]	[0.235221-3.68212]	[0.406705-4.50827]
OG0004390	[23-23]	[9-9]	[21-21]	[15-15]	[45-45]	[38-38]	[8-8]	[27-27]	[18-18]	[12-12]	[4-4]	[14-14]	[19-19]	[17-17]	[5-5]	[4-4]	[12-12]	[3-3]	[17-17]	[22-22]	[5.07238-31.9091]	[7.1356-38.9948]	[6.87545-31.9091]	[11.4131-28.8519]	[11.4131-26.9733]	[15.0989-37.7159]	[16.7476-52.584]	[21.2813-80.7569]	[7.68198-34.1193]	[7.68198-20.5688]	[5.48019-17.3339]	[7.40435-28.8519]	[8.26506-32.9962]	[7.68198-40.316]	[3.68212-23.5632]	[2.27478-17.3339]	[3.68212-15.6307]	[2.38296-11.0161]	[3.24716-14.5841]
OG0002860	[5-5]	[9-9]	[8-8]	[7-7]	[10-10]	[8-8]	[14-14]	[9-9]	[14-14]	[12-12]	[8-8]	[8-8]	[2-2]	[7-7]	[2-2]	[4-4]	[2-2]	[1-1]	[5-5]	[5-5]	[1.52502-13.1364]	[2.85261-17.9395]	[3.68212-18.5652]	[5.07238-13.6033]	[5.48019-13.1364]	[5.69426-14.5841]	[4.50827-15.0989]	[4.16162-18.5652]	[4.8782-23.5632]	[4.50827-12.6843]	[6.37983-19.2115]	[6.62361-25.2129]	[2.17006-10.6319]	[1.29045-9.89986]	[0.709584-8.57112]	[0.361722-7.1356]	[1.01124-6.14384]	[0.601995-4.69023]	[1.01124-6.62361]
OG0006498	[20-20]	[9-9]	[33-33]	[12-12]	[13-13]	[29-29]	[18-18]	[29-29]	[31-31]	[20-20]	[16-16]	[11-11]	[14-14]	[11-11]	[4-4]	[3-3]	[11-11]	[1-1]	[7-7]	[7-7]	[3.53239-23.5632]	[7.1356-38.9948]	[7.40435-34.1193]	[12.6843-30.8568]	[11.8231-26.9733]	[12.2467-29.8381]	[9.2139-29.8381]	[9.55131-38.9948]	[11.4131-49.2118]	[10.2599-26.9733]	[12.6843-36.4778]	[13.1364-47.6061]	[5.91539-23.5632]	[5.27297-28.8519]	[1.60843-12.6843]	[1.21721-11.4131]	[1.78361-9.2139]	[1.36612-7.40435]	[2.61015-12.6843]
OG0006431	[8-8]	[3-3]	[13-13]	[10-10]	[10-10]	[15-15]	[4-4]	[10-10]	[10-10]	[7-7]	[4-4]	[4-4]	[2-2]	[4-4]	[1-1]	[1-1]	[2-2]	[1-1]	[3-3]	[6-6]	[1.14631-11.0161]	[2.49471-16.1801]	[2.49471-13.6033]	[4.69023-12.2467]	[4.33213-10.6319]	[5.91539-15.6307]	[6.37983-20.5688]	[5.91539-25.2129]	[2.85261-15.0989]	[2.72941-8.26506]	[3.53239-11.8231]	[3.99656-16.7476]	[1.21721-7.1356]	[0.766058-7.40435]	[0.276025-6.62361]	[0.0499578-4.69023]	[0.318177-4.16162]	[0.120472-3.24716]	[0.195722-3.83678]
OG0005116	[10-10]	[1-1]	[5-5]	[3-3]	[4-4]	[1-1]	[4-4]	[2-2]	[6-6]	[4-4]	[5-5]	[3-3]	[1-1]	[3-3]	[1-1]	[2-2]	[8-8]	[2-2]	[4-4]	[3-3]	[0.654916-8.57112]	[1.14631-9.55131]	[0.654916-6.14384]	[1.78361-5.69426]	[1.6946-4.8782]	[1.29045-4.50827]	[1.01124-4.8782]	[0.654916-5.27297]	[0.824398-6.62361]	[1.87557-6.14384]	[2.61015-8.88729]	[2.17006-10.2599]	[0.601995-5.07238]	[0.235221-5.27297]	[0.361722-7.1356]	[0.318177-6.87545]	[1.36612-7.68198]	[1.29045-7.1356]	[1.6946-9.2139]
OG0005102	[10-10]	[4-4]	[2-2]	[2-2]	[2-2]	[2-2]	[3-3]	[4-4]	[2-2]	[3-3]	[6-6]	[2-2]	[1-1]	[4-4]	[1-1]	[3-3]	[8-8]	[4-4]	[4-4]	[5-5]	[1.01124-10.2599]	[1.36612-10.6319]	[0.884665-6.87545]	[1.29045-4.50827]	[1.44428-4.50827]	[1.29045-4.50827]	[0.766058-4.16162]	[0.550768-4.8782]	[1.29045-8.26506]	[1.36612-4.8782]	[1.6946-6.37983]	[0.884665-5.48019]	[0.550768-4.8782]	[0.361722-5.91539]	[0.824398-9.2139]	[0.501178-7.96878]	[1.87557-9.55131]	[1.97056-9.55131]	[2.17006-10.6319]
OG0003005	[19-19]	[4-4]	[4-4]	[5-5]	[11-11]	[8-8]	[6-6]	[11-11]	[15-15]	[11-11]	[1-1]	[1-1]	[5-5]	[3-3]	[1-1]	[2-2]	[2-2]	[18-18]	[4-4]	[4-4]	[1.52502-13.1364]	[2.85261-17.9395]	[2.06869-11.4131]	[3.24716-9.2139]	[3.68212-9.2139]	[4.8782-13.1364]	[3.99656-14.0857]	[4.50827-19.2115]	[3.68212-18.5652]	[2.38296-7.40435]	[3.38746-11.4131]	[6.37983-25.2129]	[0.884665-5.91539]	[1.29045-9.89986]	[0.709584-8.57112]	[0.550768-8.26506]	[1.97056-9.89986]	[2.17006-10.2599]	[0.550768-4.8782]
OG0004050	[15-15]	[13-13]	[5-5]	[8-8]	[9-9]	[7-7]	[8-8]	[10-10]	[9-9]	[8-8]	[3-3]	[3-3]	[1-1]	[14-14]	[5-5]	[2-2]	[2-2]	[2-2]	[3-3]	[4-4]	[1.87557-15.0989]	[3.68212-22.0174]	[3.24716-16.7476]	[3.83678-10.2599]	[4.16162-10.2599]	[5.07238-13.6033]	[4.33213-14.5841]	[3.68212-16.1801]	[3.99656-19.8791]	[2.85261-8.57112]	[3.24716-11.0161]	[4.16162-16.7476]	[1.60843-8.57112]	[1.52502-11.0161]	[0.824398-9.2139]	[0.709584-8.88729]	[0.709584-5.27297]	[0.601995-4.69023]	[0.550768-4.8782]
OG0004165	[6-6]	[5-5]	[4-4]	[8-8]	[12-12]	[6-6]	[11-11]	[17-17]	[3-3]	[2-2]	[1-1]	[2-2]	[1-1]	[3-3]	[3-3]	[2-2]	[3-3]	[2-2]	[3-3]	[11-11]	[1.44428-12.2467]	[1.78361-12.6843]	[1.87557-10.6319]	[2.72941-7.68198]	[2.85261-7.68198]	[6.37983-16.1801]	[4.50827-15.0989]	[3.99656-17.3339]	[6.62361-29.8381]	[0.824398-3.53239]	[0.709584-3.83678]	[0.884665-5.48019]	[0.406705-4.50827]	[0.235221-5.27297]	[1.29045-11.4131]	[0.501178-7.68198]	[0.824398-5.69426]	[0.766058-5.27297]	[0.824398-5.69426]
OG0005448	[16-16]	[12-12]	[7-7]	[7-7]	[8-8]	[10-10]	[12-12]	[11-11]	[11-11]	[9-9]	[8-8]	[17-17]	[3-3]	[19-19]	[1-1]	[3-3]	[2-2]	[4-4]	[3-3]	[1-1]	[1.44428-12.6843]	[4.50827-26.0788]	[4.33213-21.2813]	[5.69426-14.5841]	[6.14384-14.5841]	[5.69426-15.0989]	[4.50827-15.0989]	[4.16162-18.5652]	[5.07238-24.3746]	[5.91539-16.1801]	[5.27297-16.1801]	[4.8782-19.8791]	[5.07238-20.5688]	[3.11134-18.5652]	[0.084642-5.07238]	[0.235221-6.37983]	[1.14631-6.62361]	[1.14631-6.62361]	[0.824398-5.69426]
OG0006442	[348-348]	[7-7]	[5-5]	[7-7]	[10-10]	[7-7]	[13-13]	[12-12]	[8-8]	[8-8]	[5-5]	[3-3]	[3-3]	[5-5]	[3-3]	[3-3]	[3-3]	[1-1]	[11-11]	[16-16]	[4.33213-27.8974]	[8.88729-47.6061]	[2.85261-14.5841]	[3.99656-10.6319]	[4.33213-11.0161]	[5.69426-15.0989]	[4.16162-14.5841]	[3.83678-17.3339]	[5.69426-26.9733]	[2.85261-8.57112]	[3.68212-12.2467]	[3.83678-16.1801]	[1.44428-7.68198]	[1.29045-9.89986]	[1.97056-14.5841]	[0.884665-9.55131]	[1.52502-8.26506]	[0.601995-4.8782]	[1.07768-6.87545]
OG0005391	[6-6]	[2-2]	[1-1]	[2-2]	[3-3]	[4-4]	[2-2]	[2-2]	[3-3]	[2-2]	[0-0]	[1-1]	[1-1]	[1-1]	[1-1]	[2-2]	[1-1]	[1-1]	[1-1]	[0-0]	[0.0499578-4.33213]	[0.501178-6.87545]	[0.235221-4.50827]	[0.709584-2.97987]	[0.884665-3.11134]	[1.29045-4.50827]	[1.29045-5.91539]	[1.36612-7.68198]	[0.453174-5.27297]	[0.235221-2.38296]	[0.361722-2.85261]	[0.884665-5.48019]	[0.0499578-2.72941]	[0.0499578-3.24716]	[0.0163827-2.61015]	[0.0499578-3.68212]	[0.084642-3.11134]	[0.120472-3.24716]	[0.195722-3.83678]
OG0004684	[17-17]	[9-9]	[12-12]	[16-16]	[27-27]	[13-13]	[10-10]	[12-12]	[31-31]	[27-27]	[20-20]	[9-9]	[7-7]	[9-9]	[2-2]	[3-3]	[8-8]	[2-2]	[7-7]	[9-9]	[2.97987-21.2813]	[5.69426-31.9091]	[5.91539-26.9733]	[9.2139-22.7777]	[9.89986-22.7777]	[9.55131-23.5632]	[9.89986-31.9091]	[9.2139-37.7159]	[5.07238-23.5632]	[9.2139-24.3746]	[15.0989-43.0907]	[15.0989-56.1826]	[3.99656-16.7476]	[3.11134-18.5652]	[1.44428-12.2467]	[0.824398-9.55131]	[1.97056-9.55131]	[1.52502-7.96878]	[2.17006-10.6319]
OG0005144	[11-11]	[2-2]	[2-2]	[5-5]	[6-6]	[2-2]	[7-7]	[5-5]	[3-3]	[5-5]	[2-2]	[2-2]	[2-2]	[3-3]	[1-1]	[2-2]	[1-1]	[2-2]	[2-2]	[5-5]	[0.654916-8.57112]	[1.44428-11.0161]	[0.884665-6.87545]	[1.78361-5.69426]	[2.17006-5.91539]	[2.72941-7.68198]	[1.97056-7.68198]	[1.36612-7.96878]	[2.38296-13.1364]	[1.36612-4.8782]	[1.52502-6.14384]	[1.60843-8.26506]	[0.709584-5.27297]	[0.550768-6.62361]	[0.195722-6.37983]	[0.0499578-4.69023]	[0.361722-4.33213]	[0.318177-3.99656]	[0.195722-3.83678]
OG0006676	[12-12]	[5-5]	[31-31]	[17-17]	[24-24]	[26-26]	[8-8]	[26-26]	[28-28]	[28-28]	[4-4]	[6-6]	[10-10]	[8-8]	[7-7]	[6-6]	[19-19]	[21-21]	[25-25]	[33-33]	[5.69426-35.2794]	[5.07238-28.8519]	[5.69426-26.9733]	[10.6319-26.9733]	[9.89986-22.7777]	[12.2467-30.8568]	[12.2467-38.9948]	[12.6843-49.2118]	[7.40435-34.1193]	[6.87545-18.5652]	[8.88729-26.0788]	[14.5841-54.3541]	[3.68212-16.1801]	[3.68212-20.5688]	[6.87545-40.316]	[4.69023-30.8568]	[8.57112-32.9962]	[6.87545-26.9733]	[5.27297-22.0174]
OG0006852	[34-34]	[8-8]	[5-5]	[8-8]	[13-13]	[13-13]	[18-18]	[51-51]	[17-17]	[24-24]	[4-4]	[9-9]	[9-9]	[6-6]	[6-6]	[4-4]	[7-7]	[2-2]	[6-6]	[9-9]	[3.53239-23.5632]	[5.91539-32.9962]	[4.50827-22.0174]	[6.87545-17.9395]	[8.57112-19.8791]	[10.6319-26.0788]	[6.14384-19.8791]	[6.37983-26.0788]	[15.6307-68.4947]	[5.91539-16.1801]	[6.87545-21.2813]	[10.2599-38.9948]	[3.68212-16.1801]	[2.85261-17.3339]	[2.06869-15.0989]	[1.52502-13.1364]	[1.87557-9.55131]	[1.60843-8.26506]	[2.27478-11.4131]
OG0004069	[3-3]	[1-1]	[2-2]	[3-3]	[5-5]	[3-3]	[4-4]	[2-2]	[6-6]	[7-7]	[2-2]	[2-2]	[4-4]	[3-3]	[1-1]	[2-2]	[2-2]	[3-3]	[11-11]	[4-4]	[0.501178-7.68198]	[0.501178-6.87545]	[0.654916-5.91539]	[1.78361-5.48019]	[2.06869-5.69426]	[1.78361-5.69426]	[1.6946-6.87545]	[1.60843-8.57112]	[0.824398-6.62361]	[1.97056-6.37983]	[2.38296-8.26506]	[2.97987-13.1364]	[1.07768-6.62361]	[1.07768-8.88729]	[0.601995-8.26506]	[0.453174-7.40435]	[1.6946-8.57112]	[0.766058-5.27297]	[0.550768-4.8782]
OG0000344	[22-22]	[4-4]	[7-7]	[3-3]	[4-4]	[3-3]	[8-8]	[4-4]	[7-7]	[4-4]	[2-2]	[2-2]	[2-2]	[6-6]	[1-1]	[3-3]	[2-2]	[2-2]	[3-3]	[19-19]	[1.6946-14.0857]	[2.49471-16.1801]	[1.52502-9.55131]	[2.38296-7.1356]	[2.17006-6.14384]	[2.27478-6.87545]	[1.52502-6.62361]	[1.36612-7.68198]	[2.17006-12.2467]	[1.87557-6.14384]	[1.97056-7.40435]	[2.38296-11.0161]	[1.07768-6.62361]	[1.14631-9.2139]	[1.21721-11.0161]	[0.157486-5.69426]	[0.824398-5.69426]	[0.766058-5.27297]	[0.824398-5.69426]
OG0005641	[22-22]	[6-6]	[8-8]	[29-29]	[24-24]	[39-39]	[24-24]	[28-28]	[11-11]	[14-14]	[2-2]	[11-11]	[5-5]	[13-13]	[2-2]	[4-4]	[6-6]	[3-3]	[6-6]	[16-16]	[3.24716-22.7777]	[5.69426-31.9091]	[5.07238-24.3746]	[8.88729-22.0174]	[10.2599-23.5632]	[18.5652-44.5472]	[17.3339-52.584]	[15.6307-60.0229]	[12.6843-54.3541]	[4.69023-13.1364]	[3.99656-12.6843]	[6.14384-24.3746]	[4.33213-18.5652]	[3.24716-19.2115]	[1.97056-14.5841]	[0.884665-9.55131]	[1.97056-9.89986]	[1.78361-8.88729]	[2.06869-10.6319]
OG0000565	[13-13]	[4-4]	[6-6]	[3-3]	[2-2]	[2-2]	[3-3]	[2-2]	[6-6]	[5-5]	[2-2]	[3-3]	[7-7]	[2-2]	[4-4]	[2-2]	[2-2]	[3-3]	[6-6]	[7-7]	[1.52502-12.6843]	[1.87557-13.1364]	[1.29045-8.26506]	[1.87557-5.91539]	[1.6946-5.07238]	[1.21721-4.16162]	[0.946923-4.69023]	[0.550768-4.8782]	[0.654916-5.91539]	[2.06869-6.62361]	[2.06869-7.40435]	[2.49471-11.4131]	[1.44428-7.68198]	[1.29045-9.89986]	[1.36612-11.4131]	[0.884665-9.89986]	[1.29045-7.1356]	[0.766058-5.27297]	[0.550768-4.8782]
OG0004111	[12-12]	[2-2]	[4-4]	[3-3]	[4-4]	[3-3]	[5-5]	[4-4]	[3-3]	[2-2]	[7-7]	[2-2]	[1-1]	[2-2]	[1-1]	[2-2]	[3-3]	[2-2]	[4-4]	[2-2]	[0.601995-8.57112]	[1.44428-11.0161]	[0.884665-6.87545]	[1.78361-5.48019]	[1.78361-5.07238]	[2.06869-6.37983]	[1.52502-6.62361]	[1.36612-7.68198]	[1.6946-10.2599]	[1.21721-4.69023]	[1.78361-6.87545]	[0.884665-5.48019]	[0.235221-3.99656]	[0.084642-4.33213]	[0.157486-5.91539]	[0.195722-5.91539]	[1.01124-6.14384]	[0.766058-5.27297]	[0.824398-5.69426]
OG0007044	[36-36]	[9-9]	[2-2]	[7-7]	[9-9]	[5-5]	[8-8]	[6-6]	[28-28]	[6-6]	[10-10]	[6-6]	[3-3]	[9-9]	[2-2]	[3-3]	[6-6]	[11-11]	[10-10]	[9-9]	[2.85261-20.5688]	[4.50827-26.0788]	[2.85261-15.0989]	[3.68212-9.89986]	[4.8782-11.8231]	[4.16162-11.0161]	[3.53239-12.6843]	[3.11134-14.0857]	[2.85261-15.0989]	[5.07238-14.0857]	[6.87545-21.2813]	[6.62361-26.0788]	[2.49471-11.4131]	[1.97056-13.1364]	[1.97056-14.5841]	[1.44428-12.6843]	[3.38746-14.5841]	[2.85261-12.6843]	[1.78361-9.2139]
